Colony,Treatment,Bees1,Mites1,Per1001,Bees2,Mites2,Per1002
1,Vape,150,31,20.66666667,240,2,0.833333333
2,Vape,170,30,17.64705882,271,9,3.32103321
3,Vape,192,9,4.6875,245,5,2.040816327
4,Vape,129,4,3.100775194,267,6,2.247191011
5,Vape,218,9,4.128440367,265,4,1.509433962
6,Vape,159,11,6.918238994,,,
7,Vape,171,5,2.923976608,292,4,1.369863014
8,Vape,158,14,8.860759494,255,15,5.882352941
9,Vape,155,21,13.5483871,295,19,6.440677966
10,Vape,171,17,9.941520468,248,14,5.64516129
11,Dribble,174,11,6.32183908,325,3,0.923076923
12,Dribble,154,8,5.194805195,245,6,2.448979592
13,Dribble,154,9,5.844155844,171,14,8.187134503
14,Dribble,82,9,10.97560976,317,4,1.261829653
15,Dribble,157,13,8.280254777,271,25,9.225092251
16,Dribble,141,9,6.382978723,210,0,0
17,Dribble,141,7,4.964539007,254,10,3.937007874
18,Dribble,163,24,14.72392638,304,10,3.289473684
19,Dribble,101,6,5.940594059,222,1,0.45045045
20,Dribble,109,1,0.917431193,,,
21,Control,162,5,3.086419753,241,13,5.394190871
22,Control,175,11,6.285714286,252,10,3.968253968
23,Control,172,4,2.325581395,188,8,4.255319149
24,Control,154,20,12.98701299,263,27,10.2661597
25,Control,141,5,3.546099291,217,23,10.59907834
26,Control,168,6,3.571428571,237,7,2.953586498
27,Control,141,7,4.964539007,213,17,7.981220657
28,Control,195,11,5.641025641,228,23,10.0877193
29,Control,71,2,2.816901408,181,3,1.657458564
30,Control,163,15,9.202453988,164,2,1.219512195
31,Fogger,153,6,3.921568627,253,12,4.743083004
32,Fogger,124,6,4.838709677,305,26,8.524590164
33,Fogger,178,11,6.179775281,262,21,8.015267176
34,Fogger,157,22,14.01273885,304,35,11.51315789
35,Fogger,127,5,3.937007874,285,15,5.263157895
36,Fogger,124,5,4.032258065,283,6,2.120141343
37,Fogger,102,7,6.862745098,286,12,4.195804196
38,Fogger,112,3,2.678571429,287,6,2.090592334
39,Fogger,91,0,0,,,
40,Fogger,126,3,2.380952381,305,7,2.295081967
