Sample,Treatment,Hive,Bees1,mites1,Per1001,Bees2,mites2,Per1002
1,control,1,152,12,7.894736842,285,8,2.807017544
2,control,2,130,3,2.307692308,197,3,1.52284264
3,control,3,94,6,6.382978723,193,25,12.95336788
4,control,4,187,7,3.743315508,185,6,3.243243243
5,control,5,169,5,2.958579882,,,
6,control,6,212,12,5.660377358,260,10,3.846153846
7,control,7,144,9,6.25,180,6,3.333333333
8,control,8,217,36,16.58986175,167,20,11.9760479
9,control,9,236,16,6.779661017,171,7,4.093567251
10,control,10,250,21,8.4,63,20,31.74603175
11,day7,11,171,26,15.20467836,172,0,0
12,day7,12,202,6,2.97029703,218,0,0
13,day7,13,158,4,2.53164557,206,0,0
14,day7,14,163,6,3.680981595,196,2,1.020408163
15,day7,15,182,8,4.395604396,231,0,0
16,day7,16,149,20,13.42281879,183,2,1.092896175
17,day7,17,224,4,1.785714286,240,0,0
18,day7,18,229,8,3.493449782,215,3,1.395348837
19,day7,19,205,20,9.756097561,173,0,0
20,day7,20,223,8,3.587443946,191,1,0.523560209
21,day3,21,177,1,0.564971751,182,1,0.549450549
22,day3,22,116,5,4.310344828,201,4,1.990049751
23,day3,23,116,6,5.172413793,170,10,5.882352941
24,day3,24,176,9,5.113636364,185,0,0
25,day3,25,248,7,2.822580645,190,5,2.631578947
26,day3,26,188,13,6.914893617,,,
27,day3,27,124,8,6.451612903,,,
28,day3,28,263,14,5.323193916,155,0,0
29,day3,29,218,28,12.8440367,80,13,16.25
30,day3,30,220,9,4.090909091,136,0,0
31,day5,31,170,42,24.70588235,174,0,0
32,day5,32,211,29,13.74407583,190,1,0.526315789
33,day5,33,230,44,19.13043478,183,0,0
34,day5,34,200,25,12.5,198,4,2.02020202
35,day5,35,183,0,0,160,0,0
36,day5,36,231,14,6.060606061,178,0,0
37,day5,37,192,29,15.10416667,169,1,0.591715976
38,day5,38,229,1,0.436681223,,,
39,day5,39,245,32,13.06122449,203,1,0.492610837
40,day5,40,248,7,2.822580645,212,0,0
