Date,Time,Sample,Treatment,Hive,Bees,mites,Per100,grp avg:
24-Nov,1,1,control,1,152,12,7.894736842,6.696720339
24-Nov,1,2,control,2,130,3,2.307692308,
24-Nov,1,3,control,3,94,6,6.382978723,
24-Nov,1,4,control,4,187,7,3.743315508,
24-Nov,1,5,control,5,169,5,2.958579882,
24-Nov,1,6,control,6,212,12,5.660377358,
24-Nov,1,7,control,7,144,9,6.25,
24-Nov,1,8,control,8,217,36,16.58986175,
24-Nov,1,9,control,9,236,16,6.779661017,
24-Nov,1,10,control,10,250,21,8.4,
24-Nov,1,11,7 day,11,171,26,15.20467836,6.082873132
24-Nov,1,12,7 day,12,202,6,2.97029703,
24-Nov,1,13,7 day,13,158,4,2.53164557,
24-Nov,1,14,7 day,14,163,6,3.680981595,
24-Nov,1,15,7 day,15,182,8,4.395604396,
24-Nov,1,16,7 day,16,149,20,13.42281879,
24-Nov,1,17,7 day,17,224,4,1.785714286,
24-Nov,1,18,7 day,18,229,8,3.493449782,
24-Nov,1,19,7 day,19,205,20,9.756097561,
24-Nov,1,20,7 day,20,223,8,3.587443946,
24-Nov,1,21,3 day,21,177,1,0.564971751,5.360859361
24-Nov,1,22,3 day,22,116,5,4.310344828,
24-Nov,1,23,3 day,23,116,6,5.172413793,
24-Nov,1,24,3 day,24,176,9,5.113636364,
24-Nov,1,25,3 day,25,248,7,2.822580645,
24-Nov,1,26,3 day,26,188,13,6.914893617,
24-Nov,1,27,3 day,27,124,8,6.451612903,
24-Nov,1,28,3 day,28,263,14,5.323193916,
24-Nov,1,29,3 day,29,218,28,12.8440367,
24-Nov,1,30,3 day,30,220,9,4.090909091,
24-Nov,1,31,5 day,31,170,42,24.70588235,10.7565652
24-Nov,1,32,5 day,32,211,29,13.74407583,
24-Nov,1,33,5 day,33,230,44,19.13043478,
24-Nov,1,34,5 day,34,200,25,12.5,
24-Nov,1,35,5 day,35,183,0,0,
24-Nov,1,36,5 day,36,231,14,6.060606061,
24-Nov,1,37,5 day,37,192,29,15.10416667,
24-Nov,1,38,5 day,38,229,1,0.436681223,
24-Nov,1,39,5 day,39,245,32,13.06122449,
24-Nov,1,40,5 day,40,248,7,2.822580645,
22-Dec,2,41,control,1,285,8,2.807017544,8.391289487
22-Dec,2,42,control,2,197,3,1.52284264,
22-Dec,2,43,control,3,193,25,12.95336788,
22-Dec,2,44,control,4,185,6,3.243243243,
22-Dec,2,45,control,5,,,,
22-Dec,2,46,control,6,260,10,3.846153846,
22-Dec,2,47,control,7,180,6,3.333333333,
22-Dec,2,48,control,8,167,20,11.9760479,
22-Dec,2,49,control,9,171,7,4.093567251,
22-Dec,2,50,control,10,63,20,31.74603175,
22-Dec,2,51,7 day,11,172,0,0,0.403221338
22-Dec,2,52,7 day,12,218,0,0,
22-Dec,2,53,7 day,13,206,0,0,
22-Dec,2,54,7 day,14,196,2,1.020408163,
22-Dec,2,55,7 day,15,231,0,0,
22-Dec,2,56,7 day,16,183,2,1.092896175,
22-Dec,2,57,7 day,17,240,0,0,
22-Dec,2,58,7 day,18,215,3,1.395348837,
22-Dec,2,59,7 day,19,173,0,0,
22-Dec,2,60,7 day,20,191,1,0.523560209,
22-Dec,2,61,3 day,21,182,1,0.549450549,3.412929024
22-Dec,2,62,3 day,22,201,4,1.990049751,
22-Dec,2,63,3 day,23,170,10,5.882352941,
22-Dec,2,64,3 day,24,185,0,0,
22-Dec,2,65,3 day,25,190,5,2.631578947,
22-Dec,2,66,3 day,26,,,,
22-Dec,2,67,3 day,27,,,,
22-Dec,2,68,3 day,28,155,0,0,
22-Dec,2,69,3 day,29,80,13,16.25,
22-Dec,2,70,3 day,30,136,0,0,
22-Dec,2,71,5 day,31,174,0,0,0.40342718
22-Dec,2,72,5 day,32,190,1,0.526315789,
22-Dec,2,73,5 day,33,183,0,0,
22-Dec,2,74,5 day,34,198,4,2.02020202,
22-Dec,2,75,5 day,35,160,0,0,
22-Dec,2,76,5 day,36,178,0,0,
22-Dec,2,77,5 day,37,169,1,0.591715976,
22-Dec,2,78,5 day,38,,,,
22-Dec,2,79,5 day,39,203,1,0.492610837,
22-Dec,2,80,5 day,40,212,0,0,
