Colony,Treatment,Mites,Time,grp avg,date placed
1,Vape,122,1,91.8,2/28/2022
2,Vape,130,1,,2/28/2022
3,Vape,44,1,,2/28/2022
4,Vape,93,1,,2/28/2022
5,Vape,118,1,,2/28/2022
6,Vape,20,1,,2/28/2022
7,Vape,116,1,,2/28/2022
8,Vape,74,1,,2/28/2022
9,Vape,89,1,,2/28/2022
10,Vape,112,1,,2/28/2022
11,Dribble,35,1,121.1,2/28/2022
12,Dribble,60,1,,2/28/2022
13,Dribble,195,1,,2/28/2022
14,Dribble,208,1,,2/28/2022
15,Dribble,210,1,,2/28/2022
16,Dribble,176,1,,2/28/2022
17,Dribble,76,1,,2/28/2022
18,Dribble,60,1,,2/28/2022
19,Dribble,142,1,,2/28/2022
20,Dribble,49,1,,2/28/2022
21,Control,4,1,25.8,2/28/2022
22,Control,38,1,,2/28/2022
23,Control,0,1,,2/28/2022
24,Control,44,1,,2/28/2022
25,Control,63,1,,2/28/2022
26,Control,38,1,,2/28/2022
27,Control,24,1,,2/28/2022
28,Control,17,1,,2/28/2022
29,Control,6,1,,2/28/2022
30,Control,24,1,,2/28/2022
31,Fogger,32,1,36.7,2/28/2022
32,Fogger,8,1,,2/28/2022
33,Fogger,40,1,,2/28/2022
34,Fogger,73,1,,2/28/2022
35,Fogger,37,1,,2/28/2022
36,Fogger,20,1,,2/28/2022
37,Fogger,46,1,,2/28/2022
38,Fogger,41,1,,2/28/2022
39,Fogger,18,1,,2/28/2022
40,Fogger,52,1,,2/28/2022
1,Vape,73,2,126.4,3/7/2022
2,Vape,116,2,,3/7/2022
3,Vape,204,2,,3/7/2022
4,Vape,85,2,,3/7/2022
5,Vape,97,2,,3/7/2022
6,Vape,63,2,,3/7/2022
7,Vape,218,2,,3/7/2022
8,Vape,180,2,,3/7/2022
9,Vape,165,2,,3/7/2022
10,Vape,63,2,,3/7/2022
11,Dribble,110,2,103.8888889,3/7/2022
12,Dribble,73,2,,3/7/2022
13,Dribble,92,2,,3/7/2022
14,Dribble,116,2,,3/7/2022
15,Dribble,92,2,,3/7/2022
16,Dribble,186,2,,3/7/2022
17,Dribble,115,2,,3/7/2022
18,Dribble,70,2,,3/7/2022
19,Dribble,81,2,,3/7/2022
20,Dribble,,2,,3/7/2022
21,Control,12,2,10,3/7/2022
22,Control,18,2,,3/7/2022
23,Control,4,2,,3/7/2022
24,Control,10,2,,3/7/2022
25,Control,2,2,,3/7/2022
26,Control,16,2,,3/7/2022
27,Control,6,2,,3/7/2022
28,Control,1,2,,3/7/2022
29,Control,9,2,,3/7/2022
30,Control,22,2,,3/7/2022
31,Fogger,43,2,42.6,3/7/2022
32,Fogger,38,2,,3/7/2022
33,Fogger,17,2,,3/7/2022
34,Fogger,56,2,,3/7/2022
35,Fogger,72,2,,3/7/2022
36,Fogger,83,2,,3/7/2022
37,Fogger,21,2,,3/7/2022
38,Fogger,19,2,,3/7/2022
39,Fogger,45,2,,3/7/2022
40,Fogger,32,2,,3/7/2022
1,Vape,26,3,38.77777778,3/14/2022
2,Vape,37,3,,3/14/2022
3,Vape,33,3,,3/14/2022
4,Vape,42,3,,3/14/2022
5,Vape,21,3,,3/14/2022
6,Vape,,3,,3/14/2022
7,Vape,46,3,,3/14/2022
8,Vape,60,3,,3/14/2022
9,Vape,58,3,,3/14/2022
10,Vape,26,3,,3/14/2022
11,Dribble,17,3,36,3/14/2022
12,Dribble,22,3,,3/14/2022
13,Dribble,41,3,,3/14/2022
14,Dribble,38,3,,3/14/2022
15,Dribble,45,3,,3/14/2022
16,Dribble,62,3,,3/14/2022
17,Dribble,31,3,,3/14/2022
18,Dribble,48,3,,3/14/2022
19,Dribble,20,3,,3/14/2022
20,Dribble,,3,,3/14/2022
21,Control,16,3,11.9,3/14/2022
22,Control,4,3,,3/14/2022
23,Control,8,3,,3/14/2022
24,Control,24,3,,3/14/2022
25,Control,16,3,,3/14/2022
26,Control,10,3,,3/14/2022
27,Control,9,3,,3/14/2022
28,Control,17,3,,3/14/2022
29,Control,3,3,,3/14/2022
30,Control,12,3,,3/14/2022
31,Fogger,36,3,36.66666667,3/14/2022
32,Fogger,25,3,,3/14/2022
33,Fogger,48,3,,3/14/2022
34,Fogger,60,3,,3/14/2022
35,Fogger,32,3,,3/14/2022
36,Fogger,27,3,,3/14/2022
37,Fogger,11,3,,3/14/2022
38,Fogger,58,3,,3/14/2022
39,Fogger,,3,,3/14/2022
40,Fogger,33,3,,3/14/2022
