date:,Time,Colony,Treatment,Brood
2/25/2022,1,1,Vape,2104.8
2/25/2022,1,2,Vape,1622.45
2/25/2022,1,3,Vape,2280.2
2/25/2022,1,4,Vape,2280.2
2/25/2022,1,5,Vape,3069.5
2/25/2022,1,6,Vape,2280.2
2/25/2022,1,7,Vape,3376.45
2/25/2022,1,8,Vape,2850.25
2/25/2022,1,9,Vape,2324.05
2/25/2022,1,10,Vape,3595.7
2/25/2022,1,11,Dribble,1929.4
2/25/2022,1,12,Dribble,2850.25
2/25/2022,1,13,Dribble,2718.7
2/25/2022,1,14,Dribble,2499.45
2/25/2022,1,15,Dribble,1885.55
2/25/2022,1,16,Dribble,2017.1
2/25/2022,1,17,Dribble,2455.6
2/25/2022,1,18,Dribble,1315.5
2/25/2022,1,19,Dribble,2367.9
2/25/2022,1,20,Dribble,1841.7
2/25/2022,1,21,Control,2455.6
2/25/2022,1,22,Control,4472.7
2/25/2022,1,23,Control,2543.3
2/25/2022,1,24,Control,2850.25
2/25/2022,1,25,Control,4297.3
2/25/2022,1,26,Control,3508
2/25/2022,1,27,Control,2455.6
2/25/2022,1,28,Control,2017.1
2/25/2022,1,29,Control,1841.7
2/25/2022,1,30,Control,2806.4
2/25/2022,1,31,Fogger,2499.45
2/25/2022,1,32,Fogger,1666.3
2/25/2022,1,33,Fogger,3551.85
2/25/2022,1,34,Fogger,5174.3
2/25/2022,1,35,Fogger,2543.3
2/25/2022,1,36,Fogger,2718.7
2/25/2022,1,37,Fogger,4735.8
2/25/2022,1,38,Fogger,3332.6
2/25/2022,1,39,Fogger,350.8
2/25/2022,1,40,Fogger,3332.6
3/21/2022,2,1,Vape,3771.1
3/21/2022,2,2,Vape,2762.55
3/21/2022,2,3,Vape,3201.05
3/21/2022,2,4,Vape,3946.5
3/21/2022,2,5,Vape,4560.4
3/21/2022,2,6,Vape,
3/21/2022,2,7,Vape,4648.1
3/21/2022,2,8,Vape,4034.2
3/21/2022,2,9,Vape,3683.4
3/21/2022,2,10,Vape,5612.8
3/21/2022,2,11,Dribble,2981.8
3/21/2022,2,12,Dribble,4560.4
3/21/2022,2,13,Dribble,2280.2
3/21/2022,2,14,Dribble,2367.9
3/21/2022,2,15,Dribble,3069.5
3/21/2022,2,16,Dribble,
3/21/2022,2,17,Dribble,2280.2
3/21/2022,2,18,Dribble,3420.3
3/21/2022,2,19,Dribble,2674.85
3/21/2022,2,20,Dribble,
3/21/2022,2,21,Control,3157.2
3/21/2022,2,22,Control,4385
3/21/2022,2,23,Control,2894.1
3/21/2022,2,24,Control,3288.75
3/21/2022,2,25,Control,5042.75
3/21/2022,2,26,Control,3595.7
3/21/2022,2,27,Control,2367.9
3/21/2022,2,28,Control,2894.1
3/21/2022,2,29,Control,2192.5
3/21/2022,2,30,Control,3069.5
3/21/2022,2,31,Fogger,3244.9
3/21/2022,2,32,Fogger,1315.5
3/21/2022,2,33,Fogger,3595.7
3/21/2022,2,34,Fogger,5086.6
3/21/2022,2,35,Fogger,3771.1
3/21/2022,2,36,Fogger,3771.1
3/21/2022,2,37,Fogger,4034.2
3/21/2022,2,38,Fogger,2718.7
3/21/2022,2,39,Fogger,
3/21/2022,2,40,Fogger,1841.7
